VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2304290002,e_e000005,2,아주 매운 공주 칼국수 주꾸미구이 신탄진점,2023-04-29,2023-04-29,대전 대덕구 덕암로222번길 34,대전 대덕구 덕암동 49-15,127.425684,36.4395978,,,POI02001TR019580V,아주매운공주칼국수쭈꾸미구이 신탄진점,30.0,11,N,5.0,,5.0,5.0,5.0,
2304290003,e_e000005,3,청주 휴게소 서울 방향,2023-04-29,2023-04-29,충북 청주시 흥덕구 옥산면 경부고속도로 318,충북 청주시 흥덕구 옥산면 장남리 282-6,127.3493578,36.7161104,,,POI01000TR024840V,청주휴게소 서울방향,30.0,9,Y,6.0,,5.0,5.0,5.0,
2304280002,e_e000043,2,행정안전부 대통령기록관,2023-04-28,2023-04-28,세종특별자치시 다솜로 250,세종특별자치시 어진동 614,127.2731462,36.5015845,,,POI01000TR037430V,행정안전부 대통령기록관,870.0,2,N,1.0,,5.0,3.0,5.0,
2304280003,e_e000043,3,국립세종수목원,2023-04-28,2023-04-28,세종특별자치시 수목원로 136,세종특별자치시 세종동 114-480,127.285791,36.4980674,,,POI01000TR015772V,국립세종수목원,30.0,1,N,1.0,,5.0,5.0,5.0,
2304280004,e_e000043,4,팽쇼 과자점,2023-04-28,2023-04-28,세종특별자치시 노을3로 25,세종특별자치시 한솔동 941,127.2593591,36.4808977,,,POI02001TR030724V,팡쇼과자점,30.0,11,N,5.0,,5.0,5.0,5.0,
2304280005,e_e000043,5,그리너리,2023-04-28,2023-04-28,세종특별자치시 장군면 월현윗길 119-39,세종특별자치시 장군면 봉안리 241-9,127.2300065,36.5050981,,,POI010000009AHPYJ,그리너리,30.0,4,Y,1.0,,5.0,3.0,5.0,
2304280006,e_e000043,6,국립세종 도서관,2023-04-28,2023-04-28,세종특별자치시 다솜3로 48,세종특별자치시 어진동 637,127.2681176,36.4986437,,,POI01000000BFTYXA,국립세종도서관,120.0,3,N,1.0,,5.0,5.0,5.0,
2304280007,e_e000043,7,정부세종청사 체육관,2023-04-28,2023-04-28,세종특별자치시 도움8로 11-10,세종특별자치시 어진동 552-1,127.2636634,36.5072975,,,POI01000000B4F6HD,정부세종청사스포츠센터,90.0,3,Y,5.0,,5.0,5.0,5.0,
2304280002,e_e000191,2,모항항 수산물 직판장,2023-04-28,2023-04-28,충남 태안군 소원면 모항항길 122-42,충남 태안군 소원면 모항리 495-25,126.1328135,36.7764001,,,POI01000TR029639V,모항항수산물직판장,30.0,10,N,11.0,,4.0,4.0,4.0,
2304290002,e_e000191,4,저녁노을 횟집,2023-04-29,2023-04-29,충남 태안군 남면 마검포길 423-1,충남 태안군 남면 신온리 2-19,126.2870702,36.6194496,,,POI02001TR025087V,저녁노을횟집,30.0,11,N,1.0,,2.0,2.0,2.0,
2304300001,e_e000191,7,라르고 펜션 2호점,2023-04-30,2023-04-30,충남 태안군 근흥면 연포2길 76-11,충남 태안군 근흥면 도황리 1526-141,126.2103124,36.6947993,,,POI02001TR008653V,라르고펜션 2호점,30.0,11,N,9.0,,4.0,3.0,3.0,
2304300002,e_e000191,8,영성가가,2023-04-30,2023-04-30,충남 서산시 해미면 남문1로 40-1,충남 서산시 해미면 읍내리 169-1,126.5466106,36.7104196,,,POI01000TR042014V,영성각,90.0,4,Y,1.0,,4.0,4.0,4.0,
2305290002,e_e000316,20,스타벅스 대전엑스포 스카이점,2023-05-29,2023-05-29,대전 유성구 엑스포로 1,대전 유성구 도룡동 3-1,,,,,POI01000TR008375V,스타벅스 대전엑스포스카이점,90.0,11,N,2.0,,4.0,4.0,4.0,
2305290003,e_e000316,21,성심당 본점,2023-05-29,2023-05-29,대전 중구 대종로480번길 15,대전 중구 은행동 145-1,,,,,POI01000TR002346V,성심당 본점,30.0,11,N,2.0,,4.0,4.0,4.0,
2305200005,e_e000668,5,뉴 카스타운 대소점,2023-05-20,2023-05-20,충북 음성군 대소면 오태로99번길 28-4,충북 음성군 대소면 오산리 134-1,127.4879721,36.9693322,,,POI02001TR005955V,뉴카스타운 대소점,150.0,22,Y,1.0,,5.0,5.0,5.0,
2305270003,e_e001033,3,이월 서갑,2023-05-27,2023-05-27,충북 진천군 이월면 진안로 583-6,충북 진천군 이월면 신계리 679,127.3873301,36.9587315,,,POI02001TR024176V,이월서가,120.0,4,N,2.0,,5.0,5.0,5.0,
2306040001,e_e001240,2,가야 해물칼국수,2023-06-04,2023-06-04,충북 음성군 감곡면 음성로 2543,충북 음성군 감곡면 오향리 767-3,127.6385915,37.1036146,,,POI02001TR000874V,가야해물칼국수,60.0,11,Y,4.0,,4.0,4.0,4.0,
2305290002,e_e001423,2,예산 상설시장,2023-05-29,2023-05-29,충남 예산군 예산읍 형제고개로 967,충남 예산군 예산읍 예산리 333-1,126.849602,36.6769757,,,POI01000000E97864,예산상설시장,90.0,4,N,2.0,,4.0,4.0,4.0,
2305290003,e_e001423,3,봉곡사,2023-05-29,2023-05-29,충남 아산시 송악면 도송로632번길 138,충남 아산시 송악면 유곡리 595,126.9665885,36.6987661,,,POI01000000BZZ9M0,봉곡사,60.0,2,Y,4.0,,4.0,4.0,4.0,
2306070003,e_e001579,2,맘스터치 서원대점,2023-06-07,2023-06-07,충북 청주시 서원구 서원남로 49-1,충북 청주시 서원구 모충동 245-6,127.4824437,36.6221881,,,POI01000000E0TXKK,맘스터치서원대점,60.0,4,Y,6.0,,5.0,5.0,4.0,
2306070004,e_e001579,3,서원 대학교 제2자연관,2023-06-07,2023-06-07,충북 청주시 서원구 구룡산로337번길 149-35,충북 청주시 서원구 모충동 223-14,127.483871,36.6244748,,,POI010000006OZZPD,서원대학교/제2자연관,30.0,12,Y,11.0,,3.0,3.0,3.0,
2306070005,e_e001579,4,서원대학교 제2학생 회관,2023-06-07,2023-06-07,충북 청주시 서원구 무심서로 377-3,충북 청주시 서원구 모충동 233-9,127.4814579,36.6233023,,,POI01000000DLUZ6T,서원대학교/제2학생회관,90.0,12,Y,11.0,,3.0,3.0,3.0,
2306070006,e_e001579,5,청주 여객터미널 북부정류장,2023-06-07,2023-06-07,충북 청주시 청원구 직지대로 874-2,충북 청주시 청원구 우암동 323-21,127.4869815,36.6504542,,,POI010000006OSYDT,청주여객터미널 북부정류장,0.0,9,Y,11.0,,5.0,5.0,5.0,
2306040003,e_e002195,3,대전역,2023-06-04,2023-06-04,대전 동구 중앙로 215,대전 동구 정동 1-1,127.4341122,36.3322997,,,POI01000TR035392V,대전역,0.0,9,Y,6.0,,5.0,5.0,5.0,
